English,Target,Score_english,Score_target,Notes
What is the most popular gender?,Was ist das beliebteste Geschlecht?,,10,
"Nepo Laulala was born in Motootua, New Zealand on 11 June 1991. He plays rugby union for the national team and is a member of the men's rugby union team.","Nepo Laulala wurde am 11. Juni 1991 in Motootua, Neuseeland, geboren. Er spielt Rugby Union für die Nationalmannschaft und ist Mitglied der Rugby-Union-Mannschaft der Männer.",,10,
"Mary Ellen Bamford (December 10, 1857 - May 21, 1946) was a novelist and writer from the United States of America was a woman.",Mary Ellen Bamford (10. Dezember 1857 - 21. Mai 1946) war eine Romanautorin und Schriftstellerin aus den Vereinigten Staaten von Amerika und eine Frau.,,10,
"Osmund Andersen Lømsland, born Osmund, was a member of the Parliament of Norway, a member of the Norwegian Constitutional Assembly and a member of the Oslo Boys' Club.","Osmund Andersen Lømsland, geboren als Osmund, war Mitglied des norwegischen Parlaments, Mitglied der norwegischen Verfassungsgebenden Versammlung und Mitglied des Oslo Boys' Club.",,10,
Dumitru Bețiu was born in 1958 in Romania. He is a canoeist who competed in the sport of canoeing and kayaking. He is a human being. He is a man.,"Dumitru Bețiu wurde 1958 in Rumänien geboren. Er ist ein Kanufahrer, der im Kanu- und Kajaksport an Wettkämpfen teilgenommen hat. Er ist ein Mensch. Er ist ein Mann.",,10,
"Hong Yong-jo was born in Pyongyang, North Korea on May 22, 1982. He is a football player who competed in the 2010 FIFA World Cup. He is a member of the North Korea men's national football team.","Hong Yong-jo wurde am 22. Mai 1982 in Pjöngjang, Nordkorea, geboren. Er ist ein Fußballspieler, der an der FIFA-Weltmeisterschaft 2010 teilgenommen hat. Er ist Mitglied der nordkoreanischen Fußballnationalmannschaft der Männer.",,9,
"Eyedress is a musician from the Philippines who was born on May 28, 1990. His musical genre is human. He performs in the genre of music called ""M.E.""","Eyedress ist ein Musiker aus den Philippinen, der am 28. Mai 1990 geboren wurde. Sein Musikgenre ist menschlich. Er tritt im Musikgenre namens „M.E.“ auf.",,10,
"Zoe Sheridan, born in 1968 in Australia, is a television presenter. She is the wife of Sheridan, a surname for a woman.","Zoe Sheridan, geboren 1968 in Australien, ist Fernsehmoderatorin. Sie ist die Frau von Sheridan, ein Nachname für eine Frau.",,10,
"Mark Katzman was born in St. Louis, United States of America 1951 . He is a novelist and librarian . Mr. Katzman is also a man of letters.","Mark Katzman wurde 1951 in St. Louis, Vereinigte Staaten von Amerika, geboren. Er ist Schriftsteller und Bibliothekar. Herr Katzman ist auch ein Literat.",,10,
"Perry J. Kaufman is the name of a human. He is the family name of Perry Kaufman, who graduated from New York Institute of Technology.","Perry J. Kaufman ist der Name eines Menschen. Er ist der Familienname von Perry Kaufman, der seinen Abschluss am New York Institute of Technology gemacht hat.",,10,
"Timothy Thatcher is a professional wrestler who was born on June 2, 1983 in Sacramento, California, United States of America Thatcher is a man.","Timothy Thatcher ist ein professioneller Wrestler, der am 2. Juni 1983 in Sacramento, Kalifornien, Vereinigte Staaten von Amerika, geboren wurde. Thatcher ist ein Mann.",,10,
Sitanshu Yashaschandra was born in India and graduated from Indiana University. He is a translator who works at the Maharaja Sayajirao University of Baroda.,Sitanshu Yashaschandra wurde in Indien geboren und absolvierte die Indiana University. Er ist Übersetzer und arbeitet an der Maharaja Sayajirao University of Baroda.,,9,
Indrajit Nattoji was born in Kolkata on June 5th 1971. He graduated from the National Institute of Design and worked as a commercial director. His profession is human.,Indrajit Nattoji wurde am 5. Juni 1971 in Kalkutta geboren. Er absolvierte das National Institute of Design und arbeitete als kaufmännischer Leiter. Sein Beruf ist menschlich.,,8,
Sitanshu Yashaschandra studied at the University of Mumbai. He wrote the book Jatayu. He was awarded the Saraswati Samman award. He received the Padma Shri in literature & education award. His doctoral advisor was Ramprasad Bakshi.,Sitanshu Yashaschandra studierte an der Universität Mumbai. Er schrieb das Buch Jatayu. Er wurde mit dem Saraswati-Samman-Preis ausgezeichnet. Er erhielt den Padma Shri Preis für Literatur und Bildung. Sein Doktorvater war Ramprasad Bakshi.,,10,
"Adam Bennett is a Canada ice hockey player who was born in Georgetown, Ontario on 30 March 1971 . He competed in the men's tournament at the 2016 Winter Olympics.","Adam Bennett (* 30. März 1971 in Georgetown, Ontario) ist ein kanadischer Eishockeyspieler. Bei den Olympischen Winterspielen 2016 nahm er am Herrenturnier teil.",,10,
Gandia has a population of 79430.,Gandia hat 79430 Einwohner.,,10,
"Born in Manila, Philippines in 1901, Patricia Evangelista graduated from the University of the Philippines Diliman. She was a journalist and was a woman.","Patricia Evangelista wurde 1901 in Manila, Philippinen, geboren und schloss ihr Studium an der University of the Philippines Diliman ab. Sie war Journalistin und eine Frau.",,10,
"Niclas Andersén was born in Grums Municipality, Sweden on 28 April 1988 . He is an ice hockey player who competed in the men's tournament.","Niclas Andersén wurde am 28. April 1988 in der schwedischen Gemeinde Grums geboren. Er ist ein Eishockeyspieler, der am Herrenturnier teilgenommen hat.",,10,
"Ross Chapman, whose surname is Chapman, was born 22 October 1952 in New Lambton, New South Wales. He is an Australian cricketer who played for Australia. He is a man of many hats.","Ross Chapman, dessen Nachname Chapman ist, wurde am 22. Oktober 1952 in New Lambton, New South Wales, geboren. Er ist ein australischer Cricketspieler, der für Australien spielte. Er ist ein Mann mit vielen Hüten.",,5,
"Alan Nordling was born in Dawson City, Canada on May 25, 1952. He is a politician and member of the Yukon Legislative Assembly. He is a man of many talents.","Alan Nordling wurde am 25. Mai 1952 in Dawson City, Kanada, geboren. Er ist Politiker und Mitglied der Yukon Legislative Assembly. Er ist ein Mann mit vielen Talenten.",,10,
What is the lowest population?,Was ist die niedrigste Population?,,6,
Which country has the fewest number of citizens?,Welches Land hat die wenigsten Einwohner?,,7,
What job has the fewest number of people working there?,In welchem ​​Beruf arbeiten dort am wenigsten Menschen?,,7,
List places someone from India has studied,"Listen Sie Orte auf, an denen jemand aus Indien studiert hat",,8,
Who is male?,Wer ist männlich?,,10,
Who has had the most jobs?,Wer hatte die meisten Jobs?,,10,
What is the least popular gender?,Was ist das unbeliebteste Geschlecht?,,10,
Did someone who is a male study at University of Mumbai?,"Hat jemand, der ein Mann ist, an der Universität von Mumbai studiert?",,10,
How many people are male?,Wie viele Personen sind männlich?,,10,
Who are the nationals of Canada?,Wer sind die Staatsangehörigen Kanadas?,,10,
Is Mary Ellen Bamford a citizen of Australia?,Ist Mary Ellen Bamford eine australische Staatsbürgerin?,,10,
How many people are association football player?,Wie viele Menschen sind Vereinsfußballspieler?,,7,
"French economist and man of letters, André Masson, is the surname of the person born 21 May 1950 in Nancy, France.","Der französische Ökonom und Literat André Masson ist der Nachname der Person, die am 21. Mai 1950 in Nancy, Frankreich, geboren wurde.",,10,
"Lourdes Flores Nano born in Lima, Peru, on October 7, 1959 . She is a lawyer, judge and politician.","Lourdes Flores Nano wurde am 7. Oktober 1959 in Lima, Peru, geboren. Sie ist Anwältin, Richterin und Politikerin.",,10,
Elin Bragnum (born 1 May 1994 in Stockholm) is a female association football player from Sweden.,Elin Bragnum (* 1. Mai 1994 in Stockholm) ist eine schwedische Fußballspielerin.,,10,
"Prabhakar Sharan was born in Motihari, India on 22 February 1980. He is an actor who has starred in the films Human and The Man in the Moon.","Prabhakar Sharan wurde am 22. Februar 1980 in Motihari, Indien, geboren. Er ist ein Schauspieler, der in den Filmen Human und The Man in the Moon mitgespielt hat.",,10,
Eppan an der Weinstraße is a neighbouring town of Nals.,Eppan an der Weinstraße ist eine Nachbarstadt von Nals.,,10,
The town of Fondo is located on the border with Eppan an der Weinstraße.,Die Stadt Fondo liegt an der Grenze zu Eppan an der Weinstraße.,,10,
"Joel Waldfogel was born in the United States of America 25, 1962 . He graduated from Brandeis University with an M.A . and is now an economist working at Yale University.",Joel Waldfogel wurde am 25. Februar 1962 in den Vereinigten Staaten von Amerika geboren. Er schloss sein Studium an der Brandeis University mit einem M.A. und ist jetzt Ökonom und arbeitet an der Yale University.,,9,
