English,Target,Score_english,Score_target,Notes
What is the most popular gender?,Qual è il genere più popolare?,,,
"Nepo Laulala was born in Motootua, New Zealand on 11 June 1991. He plays rugby union for the national team and is a member of the men's rugby union team.","Nepo Laulala è nato a Motootua, in Nuova Zelanda, l'11 giugno 1991. Gioca a rugby per la nazionale ed è membro della squadra di rugby maschile.",,,
"Mary Ellen Bamford (December 10, 1857 - May 21, 1946) was a novelist and writer from the United States of America was a woman.",Mary Ellen Bamford (10 dicembre 1857 - 21 maggio 1946) è stata una scrittrice e scrittrice degli Stati Uniti d'America.,,,
"Osmund Andersen Lømsland, born Osmund, was a member of the Parliament of Norway, a member of the Norwegian Constitutional Assembly and a member of the Oslo Boys' Club.","Osmund Andersen Lømsland, nato Osmund, era un membro del parlamento norvegese, un membro dell'Assemblea costituzionale norvegese e un membro dell'Oslo Boys' Club.",,,
Dumitru Bețiu was born in 1958 in Romania. He is a canoeist who competed in the sport of canoeing and kayaking. He is a human being. He is a man.,Dumitru Bețiu è nato nel 1958 in Romania. È un canoista che ha gareggiato nello sport della canoa e del kayak. È un essere umano. Lui è un uomo.,,,
"Hong Yong-jo was born in Pyongyang, North Korea on May 22, 1982. He is a football player who competed in the 2010 FIFA World Cup. He is a member of the North Korea men's national football team.","Hong Yong-jo è nato a Pyongyang, in Corea del Nord, il 22 maggio 1982. È un calciatore che ha partecipato alla Coppa del Mondo FIFA 2010. È un membro della squadra nazionale di calcio maschile della Corea del Nord.",,,
"Eyedress is a musician from the Philippines who was born on May 28, 1990. His musical genre is human. He performs in the genre of music called ""M.E.""","Eyedress è un musicista filippino nato il 28 maggio 1990. Il suo genere musicale è umano. Si esibisce nel genere musicale chiamato ""M.E.""",,,
"Zoe Sheridan, born in 1968 in Australia, is a television presenter. She is the wife of Sheridan, a surname for a woman.","Zoe Sheridan, nata nel 1968 in Australia, è una conduttrice televisiva. È la moglie di Sheridan, cognome per una donna.",,,
"Mark Katzman was born in St. Louis, United States of America 1951 . He is a novelist and librarian . Mr. Katzman is also a man of letters.","Mark Katzman è nato a St. Louis, Stati Uniti d'America nel 1951. È romanziere e bibliotecario. Il signor Katzman è anche un uomo di lettere.",,,
"Perry J. Kaufman is the name of a human. He is the family name of Perry Kaufman, who graduated from New York Institute of Technology.","Perry J. Kaufman è il nome di un essere umano. È il cognome di Perry Kaufman, laureato al New York Institute of Technology.",,,
"Timothy Thatcher is a professional wrestler who was born on June 2, 1983 in Sacramento, California, United States of America Thatcher is a man.","Timothy Thatcher è un wrestler professionista nato il 2 giugno 1983 a Sacramento, California, Stati Uniti d'America Thatcher è un uomo.",,,
